682,-49.88%
685,-47.98%
688,-60.37%
690,-54.72%
698,-40.42%
699,-17.51%
806,-58.04%
807,-61.25%
808,-63.07%
811,-61.83%
812,-70.43%
813,-62.43%
814,-62.43%
815,-59.65%
819,-60.61%
821,-40.47%
824,-44.51%
825,-46.82%
827,-69.02%
841,-60.54%
842,-62.01%
852,-72.35%
857,-53.13%
858,-69.05%
859,-34.37%
860,-26.49%
861,-24.64%
901,-52.68%
903,-50.06%
904,-61.89%
905,-65.20%
906,-50.91%
907,-63.67%
908,-63.54%
909,-55.23%
910,-65.79%
911,-52.20%
912,-58.11%
913,-66.44%
914,-44.19%
915,-62.68%
917,-10.80%
918,-62.76%
919,-40.77%
922,-46.51%
925,-40.16%
928,-63.11%
929,-54.29%
930,-67.21%
931,-57.26%
932,-58.69%
933,-62.19%
934,-46.55%
935,-64.94%
936,-59.63%
937,-61.27%
941,-69.53%
942,-53.97%
945,-60.86%
949,-56.25%
955,-52.30%
958,-70.85%
968,-43.41%
969,-52.79%
977,-59.34%
978,-60.43%
979,-56.34%
982,-64.83%
986,-66.04%
987,-60.08%
988,-69.76%
989,-62.65%
990,-58.71%
991,-57.79%
992,-48.12%
993,-69.70%
994,-60.81%
995,-64.32%
998,-70.91%
399001,-60.83%
399005,-61.75%
399006,-69.74%
399007,-59.03%
399008,-64.46%
399019,-36.18%
399088,-52.25%
399285,-43.34%
399286,-48.14%
399291,-49.94%
399293,-60.56%
399295,-53.81%
399296,-60.86%
399303,-66.75%
399310,-50.23%
399311,-54.25%
399313,-45.92%
399314,-46.13%
399315,-67.03%
399316,-68.08%
399324,-54.40%
399326,-67.05%
399330,-54.82%
399348,-44.89%
399363,-70.19%
399364,-56.86%
399370,-56.98%
399371,-43.87%
399372,-59.97%
399373,-41.00%
399374,-65.18%
399375,-60.34%
399376,-71.01%
399377,-60.22%
399393,-77.33%
399394,-64.50%
399395,-63.52%
399396,-61.10%
399412,-63.05%
399417,-64.16%
399437,-49.16%
399438,-60.14%
399440,-70.40%
399441,-75.46%
399550,-41.83%
399610,-66.04%
399612,-62.99%
399617,-64.00%
399624,-69.17%
399625,-66.19%
399673,-74.93%
399699,-54.45%
399701,-47.38%
399702,-45.89%
399803,-71.66%
399804,-72.57%
399805,-60.33%
399806,-75.68%
399807,-67.14%
399808,-68.89%
399809,-50.70%
399812,-65.09%
399814,-59.47%
399850,-16.67%
399965,-77.11%
399966,-60.00%
399967,-71.40%
399970,-69.95%
399971,-83.64%
399973,-71.73%
399974,-55.92%
399975,-73.22%
399976,-67.84%
399983,-79.33%
399986,-37.08%
399987,-60.35%
399989,-72.79%
399990,-62.14%
399991,-59.12%
399993,-70.43%
399994,-71.98%
399995,-72.33%
399996,-69.78%
399997,-61.14%
399998,-60.38%
980015,-72.01%
980017,-61.64%
980030,-56.31%
980032,-67.76%
HSAHP,-24.08%
HSCAIT,-44.32%
HSCCI,-49.41%
HSCEI,-66.64%
HSCESI,-63.23%
HSCGSI,-60.18%
HSCSOE,-25.23%
HSHCI,-75.99%
HSHDYI,-51.80%
HSHK35,-46.54%
HSHKBIO,-75.58%
HSHYLV,-49.75%
HSI,-55.70%
HSIII,-75.77%
HSISC,-15.45%
HSLI,-56.90%
HSLMI,-56.42%
HSMCHYI,-56.41%
HSMI,-55.37%
HSML25,-59.55%
HSMSI,-57.67%
HSSCHKY,-56.74%
HSSCNE,-67.84%
HSSI,-69.39%
HSSSHID,-64.78%
HSTECH,-74.40%
1000015,-55.70%
